,Zip Code,Computerized No,Office name,Address
103,11291,000224-5,Yangming-shan Post Office(Taipei Branch 124),"No. 139-1, Shamao Rd., Beitou Dist., Taipei 112-91, Taiwan (R.O.C.)"
104,11114,000225-9,Chinese Culture University Post Office(Taipei Branch 125),"No. 55, Huagang Rd., Shihlin Dist., Taipei 111-14, Taiwan (R.O.C.)"
105,11172,000226-2,Shilin Shexinli Post Office(Taipei Branch 126),"No. 197, Sec. 6, Yanping N. Rd., Shihlin Dist., Taipei 111-72, Taiwan (R.O.C.)"
106,11058,000228-0,Taipei Sinyi Post Office(Taipei Branch 128),"No. 76, Songlian Rd., Sinyi Dist., Taipei 110-58, Taiwan (R.O.C.)"
107,11142,000229-3,Shilin Mingshanli Post Office(Taipei Branch 129),"No. 70, Sec. 2, Jhihcheng Rd., Shihlin Dist., Taipei 111-42, Taiwan (R.O.C.)"
108,11246,000231-9,Beitou Post Office(Taipei Branch 131),"No. 181, Guangming Rd., Beitou Dist., Taipei 112-46, Taiwan (R.O.C.)"
109,11267,000233-6,Beitou Shipai Post Office(Taipei Branch 133),"No. 93-2, Sec. 2, Shihpai Rd., Beitou Dist., Taipei 112-67, Taiwan (R.O.C.)"
110,11260,000234-0,Beitou Guandu Post Office(Taipei Branch 134),"No. 11, Alley 9, Lane 293, Jhihsing Rd., Beitou Dist., Taipei 112-60, Taiwan (R.O.C.)"
111,11263,000235-3,Beitou Former-Beitou Post Office(Taipei Branch 135),"No. 201, Sec. 1, Jhongyang S. Rd., Beitou Dist., Taipei 112-63, Taiwan (R.O.C.)"
112,11217,000236-7,Beitou Veterans General Hospital Post Office(Taipei Branch 136),"No. 201, Sec. 2, Shihpai Rd., Beitou Dist., Taipei 112-17, Taiwan (R.O.C.)"
113,11287,000237-1,Beitou Wenlin Post Office(Taipei Branch 137),"No. 96, Wunlin N. Rd., Beitou Dist., Taipei 112-87, Taiwan (R.O.C.)"
114,11252,000238-4,Beitou Shanjiao Post Office(Taipei Branch 138),"No. 408, Zhonghe Dist. St., Beitou Dist., Taipei 112-52, Taiwan (R.O.C.)"
115,11276,000239-8,Beitou Shijian Post Office(Taipei Branch 139),"No. 11, Lane 48, Shijian St., Beitou Dist., Taipei 112-76, Taiwan (R.O.C.)"
116,11290,000240-0,Beitou Zhiyuan Post Office(Taipei Branch 140),"No. 121, Sec. 1, Zhiyuan 1st Rd., Beitou Dist., Taipei 112-90, Taiwan (R.O.C.)"
117,11253,000241-3,Beitou Wenhua Post Office(Taipei Branch 141),"No. 8, Wenhua 3rd Rd., Beitou Dist., Taipei 112-53, Taiwan (R.O.C.)"
118,11280,000242-7,Beitou Mingde Post Office(Taipei Branch 142),"No. 210, Mingde Rd., Beitou Dist., Taipei 112-80, Taiwan (R.O.C.)"
119,11275,000243-1,Beitou Zunxian Post Office(Taipei Branch 143),"No. 247-4, Zunxian St., Beitou Dist., Taipei 112-75, Taiwan (R.O.C.)"
120,11245,000244-4,Beitou Qiyan Post Office(Taipei Branch 144),"No. 271, Gongguan Rd., Beitou Dist., Taipei 112-45, Taiwan (R.O.C.)"
121,11258,000245-8,Beitou Fengnian Post Office(Taipei Branch 145),"No. 329, Sec. 2, Zhongyang N. Rd., Beitou Dist., Taipei 112-58, Taiwan (R.O.C.)"
122,11257,000246-1,Beitou Yide Post Office(Taipei Branch 146),"No. 529, Sec. 4,Zhongyang N. Rd., Beitou Dist., Taipei 112-57, Taiwan (R.O.C.)"
123,11221,000247-5,National Yangming University Post Office(Taipei Branch 147),"No. 155, Sec. 2, Linong St., Beitou Dist., Taipei 112-21, Taiwan (R.O.C.)"
124,11466,000248-9,Neihu Post Office(Taipei Branch 148),"No. 83, Sec. 6, Minquan E. Rd., Neihu Dist., Taipei 114-66, Taiwan (R.O.C.)"
125,11464,000249-2,Neihu Bihu Post Office(Taipei Branch 149),"No. 225, Sec. 2, Neihu Rd., Neihu Dist., Taipei 114-64, Taiwan (R.O.C.)"
126,11470,000250-4,Neihu Zhoumei Post Of(Taipei Branch 150),"No. 4, Alley 4, Lane 380, Xinming Rd., Neihu Dist., Taipei 114-70, Taiwan (R.O.C.)"
127,11475,000251-8,Neihu Wende Post Office(Taipei Branch 151),"No. 26, Wende Rd., Neihu Dist., Taipei 114-75, Taiwan (R.O.C.)"
128,11454,000252-1,Neihu Jinlong Post Office(Taipei Branch 152),"No. 131, Sec. 3, Neihu Rd., Neihu Dist., Taipei 114-54, Taiwan (R.O.C.)"
129,11444,000253-5,Neihu Xihu Post Office(Taipei Branch 153),"No. 331, Sec. 1, Neihu Rd., Neihu Dist., Taipei 114-44, Taiwan (R.O.C.)"
130,11480,000254-9,Neihu Donghu Post Office(Taipei Branch 154),"No. 16, Kangle St., Neihu Dist., Taipei 114-80, Taiwan (R.O.C.)"
131,11481,000255-2,Neihu Dahu Post Office(Taipei Branch 155),"No. 2, Lane 166, Dahu St., Neihu Dist., Taipei 114-81, Taiwan (R.O.C.)"
